,base_number,ligand_number,aryl_halide_number,additive_number,yield
0,2,0,1,1,26.8886154
1,2,0,2,1,24.0632241
2,2,0,3,1,47.51582059
3,2,0,4,1,2.126831127
4,2,0,5,1,47.58635419
5,2,0,6,1,50.06002592
6,2,0,7,1,26.62339329
7,2,0,8,1,71.96255996
8,2,0,9,1,73.69723373
9,2,0,10,1,17.98570951
10,2,0,11,1,21.4883356
11,2,0,12,1,21.32776371
12,2,0,13,1,49.05978648
13,2,0,14,1,13.60707235
14,2,0,15,1,75.73922794
15,1,0,1,1,20.67171682
16,1,0,2,1,37.06517611
17,1,0,3,1,40.10891679
18,1,0,4,1,1.571873729
19,1,0,5,1,13.57958799
20,1,0,6,1,19.5845705
21,1,0,7,1,5.831100664
22,1,0,8,1,34.70564689
23,1,0,9,1,33.31429413
24,1,0,10,1,28.19737429
25,1,0,11,1,51.62190853
26,1,0,12,1,55.27637145
27,1,0,13,1,14.11609154
28,1,0,14,1,28.41522329
29,1,0,15,1,41.52339687
30,0,0,1,1,15.77189806
31,0,0,2,1,32.02769538
32,0,0,3,1,43.17090647
33,0,0,4,1,1.534950141
34,0,0,5,1,11.11065538
35,0,0,6,1,27.55018583
36,0,0,7,1,7.170837693
37,0,0,8,1,30.19903029
38,0,0,9,1,66.74950767
39,0,0,10,1,29.58712422
40,0,0,11,1,54.89834317
41,0,0,12,1,67.3026444
42,0,0,13,1,13.51744578
43,0,0,14,1,33.44897797
44,0,0,15,1,50.16438472
45,2,0,1,3,10.65781182
46,2,0,2,3,14.7478961
47,2,0,3,3,18.27868619
48,2,0,4,3,2.475057616
49,2,0,5,3,6.119058475
50,2,0,6,3,5.449924218
51,2,0,7,3,7.802080337
52,2,0,8,3,14.23417841
53,2,0,9,3,15.41389344
54,2,0,10,3,9.46569581
55,2,0,11,3,15.23875818
56,2,0,12,3,19.59428889
57,2,0,13,3,7.787908452
58,2,0,14,3,9.677591971
59,2,0,15,3,13.17521743
60,1,0,1,3,14.01864146
61,1,0,2,3,30.5912617
62,1,0,3,3,38.15573638
63,1,0,4,3,0.456472494
64,1,0,5,3,3.867385769
65,1,0,6,3,7.024622197
66,1,0,7,3,2.84616447
67,1,0,8,3,18.8690087
68,1,0,9,3,25.0736586
69,1,0,10,3,21.66658644
70,1,0,11,3,48.48749388
71,1,0,12,3,58.61075678
72,1,0,13,3,4.169292721
73,1,0,14,3,11.38334579
74,1,0,15,3,24.41818234
75,0,0,1,3,14.96739578
76,0,0,2,3,30.28625472
77,0,0,3,3,39.57783871
78,0,0,4,3,0.339837285
79,0,0,5,3,3.12306153
80,0,0,6,3,5.140109821
81,0,0,7,3,3.920306162
82,0,0,8,3,15.39753007
83,0,0,9,3,22.45064906
84,0,0,10,3,23.68617418
85,0,0,11,3,42.69485888
86,0,0,12,3,54.83360857
87,0,0,13,3,6.351542297
88,0,0,14,3,14.16472216
89,0,0,15,3,17.378304
90,2,0,1,5,3.606676847
91,2,0,2,5,35.07866175
92,2,0,3,5,43.31814591
93,2,0,4,5,0
94,2,0,5,5,29.29817829
95,2,0,6,5,37.56535564
96,2,0,7,5,0.960810012
97,2,0,8,5,59.0196812
98,2,0,9,5,70.96873006
99,2,0,10,5,35.13952712
100,2,0,11,5,37.65445791
101,2,0,12,5,51.10248957
102,2,0,13,5,3.963450153
103,2,0,14,5,31.93031022
104,2,0,15,5,48.70823186
105,1,0,1,5,5.008760546
106,1,0,2,5,35.08872433
107,1,0,3,5,41.2456065
108,1,0,4,5,0
109,1,0,5,5,13.9769471
110,1,0,6,5,18.89524916
111,1,0,7,5,0.705195152
112,1,0,8,5,32.63234102
113,1,0,9,5,31.81837229
114,1,0,10,5,30.4254394
115,1,0,11,5,53.63578043
116,1,0,12,5,59.4767437
117,1,0,13,5,2.014671714
118,1,0,14,5,26.51352578
119,1,0,15,5,36.85037948
120,0,0,1,5,4.820162197
121,0,0,2,5,34.80628557
122,0,0,3,5,46.63249784
123,0,0,4,5,0
124,0,0,5,5,11.74218494
125,0,0,6,5,26.65189435
126,0,0,7,5,0.546829898
127,0,0,8,5,35.87055638
128,0,0,9,5,68.84449525
129,0,0,10,5,33.8754215
130,0,0,11,5,63.0697188
131,0,0,12,5,70.62989218
132,0,0,13,5,2.481415648
133,0,0,14,5,31.6780045
134,0,0,15,5,46.01420049
135,2,0,1,7,22.16644806
136,2,0,2,7,23.21156884
137,2,0,3,7,34.74876407
138,2,0,4,7,0.948128865
139,2,0,5,7,16.64966496
140,2,0,6,7,19.99982627
141,2,0,7,7,4.992379236
142,2,0,8,7,53.99699311
143,2,0,9,7,57.37548977
144,2,0,10,7,22.61165831
145,2,0,11,7,28.75149591
146,2,0,12,7,26.98890626
147,2,0,13,7,20.85782482
148,2,0,14,7,20.73475671
149,2,0,15,7,30.87112941
150,1,0,1,7,20.36096013
151,1,0,2,7,38.91690391
152,1,0,3,7,41.70005044
153,1,0,4,7,0.940121626
154,1,0,5,7,14.90450687
155,1,0,6,7,19.596159
156,1,0,7,7,4.179760101
157,1,0,8,7,39.00815943
158,1,0,9,7,37.1696242
159,1,0,10,7,31.61725517
160,1,0,11,7,51.21654271
161,1,0,12,7,57.55128922
162,1,0,13,7,16.17382734
163,1,0,14,7,26.58751317
164,1,0,15,7,40.41327646
